date,value,huobi,hushen300,zz500,zz800,shenzhenghongli
2014/1/30,97.25,0.055,2202.45,3885.42,2494.15,3489.03
2014/2/28,104,0.055,2178.97,3975.93,2490.65,3362.4
2014/3/31,100.22,0.05,2146.3,3840.54,2440.04,3441.14
2014/4/30,101.33,0.05,2158.66,3766.17,2437.18,3431.03
2014/5/30,100.27,0.05,2156.46,3829.24,2446.42,3485.4
2014/6/30,104.32,0.04,2165.12,3924.9,2470.2,3470.73
2014/7/31,110.95,0.04,2350.25,4257.04,2680.8,3851.17
2014/8/29,110.74,0.04,2338.29,4427.88,2700.52,3764.18
2014/9/30,111.92,0.04,2450.99,4916.12,2878.33,3879.91
2014/10/31,112.99,0.04,2508.32,4986.42,2937.91,3997.96
2014/11/28,125.28,0.04,2808.82,5245.27,3231.13,4505.05
2014/12/31,151,0.04,3533.71,5322.71,3839.39,5711.01
2015/1/30,147.31,0.04,3434.39,5632.73,3813.4,5565.39
2015/2/28,151.41,0.04,3572.84,6018.46,3995.43,5798.39
2015/3/31,157.09,0.04,4051.2,7253.1,4606.9,6627.63
2015/4/30,169.85,0.04,4749.89,8469.67,5395.31,7376.64
2015/5/29,169.94,0.04,4840.83,9966.84,5736.51,7566.71
2015/6/30,163.72,0.03,4473,8906.02,5249.52,7348.57
2015/7/31,136.14,0.03,3816.7,7727.06,4501.57,6065.75
2015/8/31,134.18,0.03,3366.54,6581.31,3929.9,5351.15
2015/9/30,131.31,0.03,3202.95,6123.73,3714.97,4898.46
2015/10/30,132.77,0.03,3534.08,7084.97,4156.09,5453.81
2015/11/30,132.81,0.03,3566.41,7408.4,4239.11,5577.16
2015/12/31,132.78,0.03,3731,7617.69,4411.98,6535.61
2016/1/29,133.02,0.027,2946.09,5469.13,3387.11,5307.8
2016/2/29,133.07,0.027,2877.47,5350.43,3309.76,5185.05
2016/3/31,134.03,0.027,3218.09,6155.81,3731.98,5794.18
2016/4/29,131.33,0.027,3156.75,5985.59,3651.55,5684
2016/5/31,136.99,0.027,3169.56,5947.32,3655.33,5724.82
2016/6/30,150.09,0.024,3153.92,6123.49,3674.23,5849.18
2016/7/29,164.82,0.024,3203.93,6202.89,3729.26,5796.31
2016/8/31,160.6,0.024,3327.79,6434.21,3871.89,6157.77
2016/9/30,151.47,0.024,3253.28,6328.09,3792.11,6207.86
2016/10/31,147.95,0.024,3336.28,6452.21,3882.04,6252.31
2016/11/30,147.69,0.024,3538,6585.58,4069.92,6772.15
2016/12/30,147.46,0.024,3310.08,6263.63,3826.47,6103.42
2017/1/26,148.59,0.027,3387.96,6223.71,3882.22,6270.61
2017/2/28,151.76,0.027,3452.81,6450.97,3976.33,6563.39
2017/3/31,160.91,0.03,3456.05,6401.65,3969.92,6763.17
2017/4/28,165.41,0.03,3439.75,6211.86,3921.97,6795.37
2017/5/31,175.76,0.03,3492.88,5824.1,3893.98,6952.52
2017/6/30,186.85,0.03,3667,6138.16,4092.3,7685.5
2017/7/31,179.39,0.03,3738,6298,4179.18,7648.32
2017/8/31,180.72,0.03,3822,6470.43,4278.99,7675.66
2017/9/14,179.3,0.03,3830,6672,4323,7791
